# U/t eqp0 eqp1 eqp2 eqp3 eqp4 eqp5
1.000000000000000056e-01 -9.998437459997568943e-01 -9.802002605325839391e-02 -9.801947541458069790e-02 9.802020779836219389e-02 9.802102648765240178e-02 9.998437459997975285e-01
2.000000000000000111e-01 -2.069633623546302204e+00 -2.068244941165409134e+00 -9.984702266220900624e-01 9.984702269755666437e-01 2.068245423813905859e+00 2.069634105944412106e+00
2.999999999999999889e-01 -2.674439310343946552e+00 -2.671545297519944295e+00 -9.970194449280255222e-01 9.970194450276360643e-01 2.671545412494137128e+00 2.674439425221064592e+00
4.000000000000000222e-01 -2.879279301290056381e+00 -2.874236207543013233e+00 -9.949027178890048617e-01 9.949027179152455380e-01 2.874236234258635392e+00 2.879279327987289694e+00
5.000000000000000000e-01 -2.951320970159559742e+00 -2.943497310700266212e+00 -9.921401847856684553e-01 9.921401847884536718e-01 2.943497312756178985e+00 2.951320972217832406e+00
5.999999999999999778e-01 -2.981090466948001616e+00 -2.969865389016031365e+00 -9.887490383873869249e-01 9.887490384226955697e-01 2.969865402890774053e+00 2.981090480788008978e+00
6.999999999999999556e-01 -2.995948452400175821e+00 -2.980708893678109206e+00 -9.847405781308808947e-01 9.847405781276210579e-01 2.980708892907263152e+00 2.995948451629536713e+00
8.000000000000000444e-01 -3.005060935790922372e+00 -2.985201410455963433e+00 -9.801240701400421029e-01 9.801240701439056791e-01 2.985201411335212107e+00 3.005060936667278693e+00
9.000000000000000222e-01 -3.011801815461589982e+00 -2.986724115894886733e+00 -9.749076094174968787e-01 9.749076094163761086e-01 2.986724115704899596e+00 3.011801815272911131e+00
1.000000000000000000e+00 -3.017567687890343020e+00 -2.986681169383726075e+00 -9.690991471096926935e-01 9.690991471123893142e-01 2.986681169979445993e+00 3.017567688484255051e+00
1.100000000000000089e+00 -3.022990385579911177e+00 -2.985712404690801680e+00 -9.627068476360091109e-01 9.627068476335916003e-01 2.985712404420424626e+00 3.022990385313408357e+00
1.199999999999999956e+00 -3.028375910024655226e+00 -2.984132306888746644e+00 -9.557392292116414501e-01 9.557392292112393273e-01 2.984132306868334972e+00 3.028375910004996285e+00
1.300000000000000044e+00 -3.033879615823764642e+00 -2.982105189980897908e+00 -9.482052055676422064e-01 9.482052055709805360e-01 2.982105190365660352e+00 3.033879616206173413e+00
1.399999999999999911e+00 -3.039601725127516474e+00 -2.979741065537345968e+00 -9.401144657537513494e-01 9.401144657526377957e-01 2.979741065447180315e+00 3.039601725039265290e+00
1.500000000000000000e+00 -3.045552636197244922e+00 -2.977059601796544719e+00 -9.314761370175104194e-01 9.314761370198626489e-01 2.977059601985597048e+00 3.045552636383772160e+00
1.600000000000000089e+00 -3.051765800890436253e+00 -2.974104670737511835e+00 -9.223004634128170176e-01 9.223004634116490630e-01 2.974104670680856266e+00 3.051765800835682274e+00
1.699999999999999956e+00 -3.058248637782649215e+00 -2.970894190317271200e+00 -9.125977380433183406e-01 9.125977380422818364e-01 2.970894190288248193e+00 3.058248637755457633e+00
1.800000000000000044e+00 -3.065000921713154636e+00 -2.967438693523727355e+00 -9.023784847484248584e-01 9.023784847490449179e-01 2.967438693550441542e+00 3.065000921739061468e+00
1.899999999999999911e+00 -3.072017612613408666e+00 -2.963744107000897632e+00 -8.916534086359633182e-01 8.916534086383474111e-01 2.963744107111450532e+00 3.072017612720673974e+00
2.000000000000000000e+00 -3.079290524533579543e+00 -2.959813371423945849e+00 -8.804333473415347777e-01 8.804333473396968035e-01 2.959813371373240187e+00 3.079290524485549074e+00
2.100000000000000089e+00 -3.086821918095940642e+00 -2.955660517038051882e+00 -8.687297551348650559e-01 8.687297551344194124e-01 2.955660517023670497e+00 3.086821918082368388e+00
2.200000000000000178e+00 -3.094579528911594934e+00 -2.951263792525757879e+00 -8.565527966956771877e-01 8.565527966949501026e-01 2.951263792503842076e+00 3.094579528890235576e+00
2.299999999999999822e+00 -3.102559756315798278e+00 -2.946631309316140257e+00 -8.439138085697533986e-01 8.439138085689786850e-01 2.946631309285211220e+00 3.102559756285783621e+00
2.399999999999999911e+00 -3.110749231289228867e+00 -2.941761061425691715e+00 -8.308237450586279937e-01 8.308237450585080897e-01 2.941761061427848212e+00 3.110749231291957351e+00
2.500000000000000000e+00 -3.119134011986519628e+00 -2.936650433703487995e+00 -8.172934899305676071e-01 8.172934899313220036e-01 2.936650433726823550e+00 3.119134012008870194e+00
2.600000000000000089e+00 -3.127699711033109509e+00 -2.931296298499123765e+00 -8.033338235579049469e-01 8.033338235573711517e-01 2.931296298474600270e+00 3.127699711009408468e+00
2.700000000000000178e+00 -3.136441735422847987e+00 -2.925705906839664028e+00 -7.889560758450158140e-01 7.889560758461022782e-01 2.925705906878333540e+00 3.136441735461130254e+00
2.799999999999999822e+00 -3.145328526957504867e+00 -2.919857706783446805e+00 -7.741696873685816049e-01 7.741696873688900249e-01 2.919857706785967899e+00 3.145328526959666693e+00
2.899999999999999911e+00 -3.154352318047855874e+00 -2.913755324797488111e+00 -7.589854504709663274e-01 7.589854504711583960e-01 2.913755324799980340e+00 3.154352318050460902e+00
3.000000000000000000e+00 -3.163497849868022627e+00 -2.907394290533129588e+00 -7.434135015060252538e-01 7.434135015062851570e-01 2.907394290539710546e+00 3.163497849874473467e+00
3.100000000000000089e+00 -3.172756290007404445e+00 -2.900776963208047121e+00 -7.274643335408346179e-01 7.274643335406094646e-01 2.900776963206727732e+00 3.172756290006482072e+00
3.200000000000000178e+00 -3.182101467649243176e+00 -2.893886759107527684e+00 -7.111467675486740081e-01 7.111467675482102679e-01 2.893886759096379713e+00 3.182101467638824399e+00
3.299999999999999822e+00 -3.191522432090843076e+00 -2.886723395547995619e+00 -6.944706562012866735e-01 6.944706562009139716e-01 2.886723395542391213e+00 3.191522432085460270e+00
3.399999999999999911e+00 -3.201003423099952450e+00 -2.879281218117971886e+00 -6.774452224777376408e-01 6.774452224774872855e-01 2.879281218120013364e+00 3.201003423102362522e+00
3.500000000000000000e+00 -3.210534567560320518e+00 -2.871560919676157564e+00 -6.600800881880780624e-01 6.600800881879503867e-01 2.871560919675105072e+00 3.210534567559356844e+00
3.600000000000000089e+00 -3.220090180486229414e+00 -2.863545564197950810e+00 -6.423829631487055769e-01 6.423829631488267022e-01 2.863545564198316740e+00 3.220090180486752107e+00
3.700000000000000178e+00 -3.229658301852336599e+00 -2.855233186723199701e+00 -6.243627389612274037e-01 6.243627389616701606e-01 2.855233186730069761e+00 3.229658301858763014e+00
3.799999999999999822e+00 -3.239227665782939969e+00 -2.846622545176757058e+00 -6.060282532406041645e-01 6.060282532405872891e-01 2.846622545175436780e+00 3.239227665781736487e+00
3.899999999999999911e+00 -3.248773712955638437e+00 -2.837697346068193571e+00 -5.873864652847121670e-01 5.873864652845736112e-01 2.837697346063706494e+00 3.248773712951114501e+00
4.000000000000000000e+00 -3.258283138277374036e+00 -2.828453766289235283e+00 -5.684454679818072842e-01 5.684454679818357059e-01 2.828453766289122928e+00 3.258283138277184410e+00
4.099999999999999645e+00 -3.267744336631097646e+00 -2.818889818984864792e+00 -5.492133819222502211e-01 5.492133819224097602e-01 2.818889818989054774e+00 3.267744336635226787e+00
4.200000000000000178e+00 -3.277131459310021810e+00 -2.808987376417619863e+00 -5.296962823323346781e-01 5.296962823323819736e-01 2.808987376417743320e+00 3.277131459310107964e+00
4.299999999999999822e+00 -3.286430411314260613e+00 -2.798741443175428056e+00 -5.099015099314186950e-01 5.099015099313787269e-01 2.798741443176806953e+00 3.286430411315605760e+00
4.400000000000000355e+00 -3.295627532133021731e+00 -2.788147761724540263e+00 -4.898365859027165037e-01 4.898365859026136970e-01 2.788147761724027340e+00 3.295627532132618498e+00
4.500000000000000000e+00 -3.304700919050205687e+00 -2.777192304479253693e+00 -4.695072980807127316e-01 4.695072980808089325e-01 2.777192304480355034e+00 3.304700919051382524e+00
4.599999999999999645e+00 -2.152749548305129768e+00 -1.214681500963763927e+00 -1.861892407052587195e-06 1.861892408745317742e-06 1.214681500963904481e+00 2.152749548305291860e+00
4.700000000000000178e+00 -2.234352912352761233e+00 -1.291179353039341393e+00 -9.885946644627810305e-11 9.886119419603478648e-11 1.291179353039102917e+00 2.234352912353010367e+00
4.799999999999999822e+00 -2.311821684233243968e+00 -1.364339128689905145e+00 -2.156689860777748919e-13 2.172718705694689901e-13 1.364339128698500714e+00 2.311821684241713637e+00
4.900000000000000355e+00 -2.386025547426165794e+00 -1.434839387555375545e+00 1.134942382673182208e-15 3.377550020962140656e-14 1.434839387555232992e+00 2.386025547426003257e+00
5.000000000000000000e+00 -2.457592928724394277e+00 -1.503180232218294332e+00 -3.372031128524924556e-16 3.430178772987059645e-14 1.503180232217746992e+00 2.457592928723835168e+00
5.099999999999999645e+00 -2.527095628228113622e+00 -1.569835194900650155e+00 5.812386850691828196e-15 1.347296771261128945e-14 1.569835194900820907e+00 2.527095628228297031e+00
5.200000000000000178e+00 -2.594795012504973020e+00 -1.635001927857879789e+00 7.635222825733770539e-15 1.080141827694772737e-14 1.635001927858213522e+00 2.594795012505312748e+00
5.299999999999999822e+00 -2.661016203576298977e+00 -1.698950955228893056e+00 1.042804713179676406e-14 1.098321105131597170e-14 1.698950955228619719e+00 2.661016203576018313e+00
5.400000000000000355e+00 -2.725968891458896870e+00 -1.761851890902437656e+00 9.917450687085397321e-15 1.031289448975612701e-14 1.761851890902303319e+00 2.725968891458755206e+00
5.500000000000000000e+00 -2.789852842446356007e+00 -1.823871589709478602e+00 1.011829907370168141e-14 1.067626491370129943e-14 1.823871589709627372e+00 2.789852842446495895e+00
5.599999999999999645e+00 -2.852732987155983668e+00 -1.885051951292935568e+00 1.014644205570522477e-14 1.065072401691172128e-14 1.885051951292515904e+00 2.852732987155614630e+00
