# U/t eqp0 eqp1 eqp2 eqp3 eqp4 eqp5
1.000000000000000056e-01 -9.998437459993740895e-01 -9.861549519105718975e-01 -1.970365601575078257e-02 1.970365691147335507e-02 9.861549489044683092e-01 9.998437459993748666e-01
2.000000000000000111e-01 -9.993749961805116211e-01 -9.861549519105935468e-01 -1.970365601576085438e-02 1.970365691147275139e-02 9.861549489045778882e-01 9.993749961805273863e-01
2.999999999999999889e-01 -9.985937459965369412e-01 -9.861549519106066475e-01 -1.970365601576037906e-02 1.970365691146780396e-02 9.861549489046894656e-01 9.985937459965559260e-01
4.000000000000000222e-01 -9.974999960070636273e-01 -9.861549519106128647e-01 -1.970365601577243192e-02 1.970365691145359310e-02 9.861549489047136685e-01 9.974999960070782823e-01
5.000000000000000000e-01 -9.960937460680777678e-01 -9.861549519105616834e-01 -1.970365601576960085e-02 1.970365691145847808e-02 9.861549489047019001e-01 9.960937460680739930e-01
5.999999999999999778e-01 -9.943749962828757338e-01 -9.861549519105764494e-01 -1.970365601576871267e-02 1.970365691145825604e-02 9.861549489046550487e-01 9.943749962828704048e-01
6.999999999999999556e-01 -9.923437468791223015e-01 -9.861549519106244110e-01 -1.970365601576454934e-02 1.970365691146115303e-02 9.861549489047016781e-01 9.923437468791354021e-01
8.000000000000000444e-01 -9.899999982982249369e-01 -9.861549519105874406e-01 -1.970365601575908843e-02 1.970365691145914422e-02 9.861549489047842787e-01 9.899999982982082836e-01
9.000000000000000222e-01 -9.873437513199059268e-01 -9.861549519106586059e-01 -1.970365601575252770e-02 1.970365691146532677e-02 9.861549489047434225e-01 9.873437513199152527e-01
1.000000000000000000e+00 -9.861549519106910244e-01 -9.843750072283471431e-01 -1.970365601575841188e-02 1.970365691146854295e-02 9.843750072283563579e-01 9.861549489047041206e-01
1.100000000000000089e+00 -9.861549519106865835e-01 -9.810937463422174654e-01 -1.970365601576229420e-02 1.970365691148834308e-02 9.810937463422172433e-01 9.861549489047529704e-01
1.199999999999999956e+00 -9.861549519106840300e-01 -9.774999968276741891e-01 -1.970365601577118639e-02 1.970365691149500789e-02 9.774999968276585349e-01 9.861549489048122563e-01
1.300000000000000044e+00 -9.861549519107620787e-01 -9.735937477860571176e-01 -1.970365601576537506e-02 1.970365691150400764e-02 9.735937477860538980e-01 9.861549489047971573e-01
1.399999999999999911e+00 -9.861549519110426321e-01 -9.693749995723922597e-01 -1.970365601576664835e-02 1.970365691150776852e-02 9.693749995723989210e-01 9.861549489048198058e-01
1.500000000000000000e+00 -9.861549519109942263e-01 -9.648437527489641674e-01 -1.970365601575634409e-02 1.970365691149167375e-02 9.648437527489781562e-01 9.861549489049165063e-01
1.600000000000000089e+00 -9.861549519110730522e-01 -9.600000081777637639e-01 -1.970365601575494244e-02 1.970365691148235482e-02 9.600000081777665395e-01 9.861549489049028505e-01
1.699999999999999956e+00 -9.861549519111032502e-01 -9.548437671433164242e-01 -1.970365601575410283e-02 1.970365691148979331e-02 9.548437671433268603e-01 9.861549489049457051e-01
1.800000000000000044e+00 -9.861549519111660889e-01 -9.493750315128814954e-01 -1.970365601573886849e-02 1.970365691148567855e-02 9.493750315128965944e-01 9.861549489049636907e-01
1.899999999999999911e+00 -9.861549519111056927e-01 -9.435937490553825135e-01 -1.970365601572240943e-02 1.970365691150585685e-02 9.435937490553886198e-01 9.861549489047463091e-01
2.000000000000000000e+00 -9.861549519111507678e-01 -9.375000015239248752e-01 -1.970365601571374622e-02 1.970365691149993798e-02 9.375000015239320916e-01 9.861549489047380934e-01
2.100000000000000089e+00 -9.861549519110905937e-01 -9.310937556080710609e-01 -1.970365601570268563e-02 1.970365691147200546e-02 9.310937556080797206e-01 9.861549489047023442e-01
2.200000000000000178e+00 -9.861549519109068518e-01 -9.243750121969958045e-01 -1.970365601570994718e-02 1.970365691148024540e-02 9.243750121970044642e-01 9.861549489047958250e-01
2.299999999999999822e+00 -9.861549519110106576e-01 -9.173437725906654627e-01 -1.970365601571179293e-02 1.970365691148748960e-02 9.173437725906761209e-01 9.861549489048710981e-01
2.399999999999999911e+00 -9.861549519110133222e-01 -9.100000386571222011e-01 -1.970365601572161840e-02 1.970365691148272605e-02 9.100000386571259758e-01 9.861549489047921613e-01
2.500000000000000000e+00 -9.861549519108743223e-01 -9.023438130387881895e-01 -1.970365601572859546e-02 1.970365691146325204e-02 9.023438130387926304e-01 9.861549489048671013e-01
2.600000000000000089e+00 -9.861549519107932760e-01 -8.943750994200041493e-01 -1.970365601574264325e-02 1.970365691146474391e-02 8.943750994200134752e-01 9.861549489050249750e-01
2.700000000000000178e+00 -9.861549519107722928e-01 -8.860937634647291228e-01 -1.970365601574864886e-02 1.970365691147999213e-02 8.860937634647360062e-01 9.861549489051948392e-01
2.799999999999999822e+00 -9.861549519107851713e-01 -8.775000242685886409e-01 -1.970365601576277992e-02 1.970365691148100867e-02 8.775000242685988550e-01 9.861549489052110484e-01
2.899999999999999911e+00 -9.861549519109052975e-01 -8.685937908645662286e-01 -1.970365601577219253e-02 1.970365691148357259e-02 8.685937908645718908e-01 9.861549489051375517e-01
3.000000000000000000e+00 -9.861549519109454875e-01 -8.593750659742639408e-01 -1.970365601575341588e-02 1.970365691150940610e-02 8.593750659742612763e-01 9.861549489050338568e-01
3.100000000000000089e+00 -9.861549519108706585e-01 -8.498438534357434238e-01 -1.970365601575553918e-02 1.970365691152038690e-02 8.498438534357383167e-01 9.861549489052312545e-01
3.200000000000000178e+00 -9.861549519110972550e-01 -8.400001585995798825e-01 -1.970365601574718128e-02 1.970365691151393372e-02 8.400001585995833242e-01 9.861549489053609285e-01
3.299999999999999822e+00 -9.861549519107973838e-01 -8.298437867568017046e-01 -1.970365601573309186e-02 1.970365691148370096e-02 8.298437867568008164e-01 9.861549489051708584e-01
3.399999999999999911e+00 -9.861549519110616169e-01 -8.193750601152557378e-01 -1.970365601573717193e-02 1.970365691153758841e-02 8.193750601152618440e-01 9.861549489051337769e-01
3.500000000000000000e+00 -9.861549519111872941e-01 -8.085938453754411004e-01 -1.970365601574241773e-02 1.970365691152846724e-02 8.085938453754433208e-01 9.861549489052541251e-01
3.600000000000000089e+00 -9.861549519111584283e-01 -7.975001479669607818e-01 -1.970365601572000164e-02 1.970365691154775042e-02 7.975001479669684423e-01 9.861549489051880668e-01
3.700000000000000178e+00 -9.861549519112257078e-01 -7.860939755307243537e-01 -1.970365601572009531e-02 1.970365691155642404e-02 7.860939755307203569e-01 9.861549489051127937e-01
3.799999999999999822e+00 -9.861549519114924944e-01 -7.743750726265523632e-01 -1.970365601570367789e-02 1.970365691155830101e-02 7.743750726265552498e-01 9.861549489050274175e-01
3.899999999999999911e+00 -9.861549519114679585e-01 -7.623438655826639820e-01 -1.970365601570422953e-02 1.970365691155250704e-02 7.623438655826664245e-01 9.861549489047860551e-01
4.000000000000000000e+00 -9.861549519115344609e-01 -7.500001803027740443e-01 -1.970365601571741690e-02 1.970365691157061408e-02 7.500001803027764868e-01 9.861549489048286876e-01
